area_sqm,rooms,floor,floor_count,build_year,latitude,longitude,distance_to_center,poi_count,distance_to_school,distance_to_healthcare,distance_to_post_office,distance_to_kindergarten,distance_to_restaurant,distance_to_college,distance_to_pharmacy,has_parking,has_balcony,has_elevator,has_security,has_storage,price,listing_year,listing_month
65.74,3,7,10,2018,51.7785885,19.4855869,2.14,14,0.34,1.073,0.428,0.385,0.167,0.635,0.297,1,1,1,1,0,631104,2023,8
42.42,2,9,10,1970,51.7485535,19.4132006,4.65,20,0.178,0.071,0.182,0.097,0.129,2.743,0.078,1,1,1,1,1,290000,2023,8
45.04,3,,2,,51.8059555,19.4522864,2.72,1,0.272,1.628,0.802,0.737,0.758,2.376,0.817,1,1,1,1,1,359000,2023,8
48,2,3,11,,51.7294,19.4606,5.81,14,0.218,1.064,0.362,0.128,0.034,0.53,0.168,1,1,1,1,1,275000,2023,8
56,3,3,10,1980,51.77864,19.42311,2.2,13,0.33,0.753,0.566,0.312,0.369,0.86,0.296,1,1,1,1,0,489000,2023,8
37.68,2,3,4,,51.7956,19.4326,2.19,9,0.138,0.801,0.283,0.367,0.075,1.269,0.481,1,1,0,1,0,221000,2023,8
43.5,2,3,3,1965,51.73157775,19.44418448,5.6,12,0.114,2.021,0.621,0.273,0.333,0.572,0.263,1,1,1,1,0,410000,2023,8
46,2,1,4,1976,51.79488,19.44299,1.69,16,0.336,0.892,0.43,0.141,0.234,1.096,0.236,1,1,1,1,0,320000,2023,8
70.3,3,4,4,1983,51.7152,19.4846,7.65,19,0.186,0.224,0.13,0.024,0.213,1.986,0.267,1,1,1,1,0,418000,2023,8
53,2,3,4,1954,51.7836,19.4507,0.36,40,0.459,0.7,0.462,0.053,0.104,0.436,0.069,1,1,1,1,1,359000,2023,8
